Term (Spanish),Term (English),Agency,Submitted By,Abbr / Acronym - Spanish,Abbr / Acronym - English,Topic,Subtopic,Definition - Spanish,Definition - English,Notes - Spanish,Notes - English,Plain Language - Spanish,Plain language - English,Related entry - English,Preferred use - Spanish,Anglicism,Forbidden term,Context - Spanish,Region - Spanish,Gr. Gender,Gr. Number,Part of speech - Spanish,Variants - Spanish,Source - Spanish
Guía de compra de alimentos titulada,Food Buying Guide,USDA-FNS,USDA-FNS,,,Health,,,,,"""Internal translation for consistency and to be easy to understand.
If space is limited use: Guía de compra de alimentos, after it has been defined. """,,,,,,,,,,,,,
guía del medicamento,medication guide ,FDA,FDA,,,Health,Drugs,,A medication guide contains information for patients on how to safely use a drug product.,,,,,,,,,,,,,,,
guía para dejar de fumar,guide for quitting,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
Guía para la Notificación de Estadísticas Vitales,Vital Statistics Reporting Guidance,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
guía preliminar,draft guidance for,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
Guías Alimentarias para Estadounidenses,Dietary Guidelines for Americans,"USDA-FNS,FDA",USDA-FNS,,,Health,Food Industry,,,,"""USDA uses Guías Alimentarias para los Estadounidenses
- https://choosemyplate-prod.azureedge.net/sites/default/files/tentips/MPMW_Tipsheet_5_potlucksandparties-sp.pdf
- https://choosemyplate-prod.azureedge.net/sites/default/files/audiences/DGbrochure-spanish.pdf
- https://choosemyplate-prod.azureedge.net/sites/default/files/audiences/DGbrochure-spanish.pdf

HHS uses Pautas Alimentarias para Estadounidenses
-https://health.gov/dietaryguidelines/2015/resources/DGA_Executive-Summary-SP.pdf
- https://health.gov/sites/default/files/2019-10/DGA_Recommendations-At-A-Glance-SP.pdf""",checked,,,Primary,,,Typically used as plain language. ,,,,,,
Guías de servicios preventivos para mujeres,Women’s Preventive Services Guidelines ,HRSA,HRSA,,WPSI,,,,,,,,,,,,,,,,,,,
Guías Dietéticas para los Estadounidenses,,FDA,FDA,,,,,,,,,,,,,,,,,,,,,
guías o documento de orientación,guidance document,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
guias o pautas,guidelines,USDA-FNS,USDA-FNS,,,Health,,,,,,,,,,,,,,,,,,
guisantes (arvejas),Peas,USDA-FNS,USDA-FNS,,,Health,,,,,USDA Recipes,,,,,,,,,,,,,
gusano,maggot ,FDA,FDA,,,Health,Food MPM,,"A worm-like larva, which is legless and without a distinct head capsule. Maggot refers to the immature form of flies which belong to the insect order Diptera.",,,,,,,,,,,,,,,
haber,be available,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
Habilidades cognitivas,Cognitive abilities,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
Habilidades cognocitivas,Cognitive abilities,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
hábitos alimentarios,Eating habits,USDA-FNS,USDA-FNS,,,Health,,,,,https://fns-prod.azureedge.net/sites/default/files/resource-files/TrainersKit_TrainersGuide_SP.pdf,,,,,,,,,,,,,
hábitos para dormir,sleep hygiene,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
habla arrastrada o enredada,slurred speech,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hablar,discuss,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
hacer cumplir,"""enforce, to/enforcement""",FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
hacer llegar,share,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
hacer más lento,slows down,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
hacer partícipe,share,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
hacerse la prueba uno mismo,self-testing,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Haemophilus influenzae,Haemophilus influenzae,CDC,CDC,,,Health,,,,This term should be in italics with upper-case H.,,,,,,,,,,,,,,
hallazgo,finding,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
hallazgos,evidence,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
haloperidol,haloperidol,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
haz de protón,proton-beam,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
hecho,"event,fact","NIH,NIA","NIH, NIA",,,"Health,Health",,,,,,,,,,,,,,,,,,
hechos indicativos,evidence,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
helicoidal,helical,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
hematopoyético,hematopoietic,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hematoquecia,hematochezia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hemiplejia,hemiplegia,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
hemisferio cerebral,cerebral hemisphere,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
Hemivida,median life,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
hemoderivado,blood product,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
hemoglobina (Hgb),hemoglobin ,"CDC,NIH","FDA, CDC, NIH",,"Hgb, Hb",Health,,"Proteína del interior de los glóbulos rojos que transporta oxígeno desde los pulmones a los tejidos y órganos del cuerpo; además, transporta el dióxido de carbono de vuelta a los pulmones. Por lo general, la prueba para medir la cantidad de hemoglobina en la sangre forma parte del recuento sanguíneo completo (RSC).",,,,,,,,,,,,Feminine,Singular,,,NCI https://www.cancer.gov/espanol/publicaciones/diccionarios/diccionario-cancer/ampliar/H
hemoglobina globular media (HGM),mean cell hemoglobin ,NIH,NIH,,MCH,Health,,,,,,,,,,,,,,,,,,
hemoglobina glucosilada,lycated Hemoglobin,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hemoglobina glucosilada (Hbg),glycosylated hemoglobin ,NIH,NIH,,Hbg,Health,,,,,,,,,,,,,,,,,,
hemoglobinuria paroxística nocturna,paroxysmal nocturnal hemoglobinuria,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hemograma,"blood cell count,blood count,complete blood count",CDC,CDC,,CBC,"Health,Health,Health",,,"Esta prueba común mide la cantidad de hemoglobina (el pigmento rojo dentro los glóbulos rojos que transporta oxígeno), el tamaño y la cantidad de glóbulos rojos, y la cantidad de los diferentes tipos de glóbulos blancos y plaquetas que se encuentran en la sangre.",,,,,,,,,,,,,,,
hemograma completo,complete blood count,NIH,NIH,,CBC,Health,,,"Esta prueba común mide la cantidad de hemoglobina (el pigmento rojo dentro los glóbulos rojos que transporta oxígeno), el tamaño y la cantidad de glóbulos rojos, y la cantidad de los diferentes tipos de glóbulos blancos y plaquetas que se encuentran en la sangre.",,,,,,,,,,,,,,,
hemoptisis,hemoptysis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hemorragia intercurrente,breakthrough bleeding,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hemorragia subaracnoidea,subarachnoid hemorrhage,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hemostasis,hemostasis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hendiduras faciales oblicuas,oblique facial clefts,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hendiduras medias,median clefts,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hendiduras orofaciales,orofacial clefts,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
heparina de bajo peso molecular,"low molecular weight heparin,low-molecular weight heparin",CDC,CDC,,,"Health,Health",,,,,,,,,,,,,,,,,,
hepatoblastoma,hepatoblastoma,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hepatocito,hepatocyte,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hepatoesplenomegalia,hepatosplenomegaly,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hepatopatía de células falciformes,sickle hepatopathy,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
heptacloro,heptachlor,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
herbicida,herbicide,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
herida,injury,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
heroína negra,black tar heroin,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
herpangina,herpangina,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
herpes simple,herpes simplex,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
herpes zóster,shingles zoster,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
herramienta,tool,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
Herramienta de Evaluación de los Niveles de Atención Médica,Levels of Care Assessment Tool,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hexaclorobenceno,hexachlorobenzene,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hexaclorociclohexanos,hexachlorocyclohexanes,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hibridaciön genómica comparativa,comparative genomic hybridization,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
hidrocarburos aromáticos policíclicos,polycyclic aromatic hydrocarbons,CDC,"CDC, FDA",,PAH,Health,,,,,,,,,,,,,,,,,,
Hidrocefalia,Hydrocephalus,NIA,NIA,,,,,,,,,,,,,,,,,,,,,
hidroenfriamiento,hydrocooling,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
hidroperyoduro de tetraglicina,tetraglycine hydroperiodide,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hidropesía fetal por hemoglobina de Bart,hemoglobin Bart hydrops fetalis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hidroxianisol butilado,butylated hydroxyanisole,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hidroxicarbamida,hydroxyurea,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hidroxicloroquina,hydroxychloroquine,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hielera,Cooler ,USDA-FNS,USDA-FNS,,,Health,,,,,"""shorter word to ""nevera"" or ""frigorífico portátil"".""",,,,,,,,,,,,,
hifa,"hypha,hypha ",CDC,CDC,,,"Health,Health",Food MPM,,One of the thread-like strands or filaments that constitute the mycelium of a fungus.,,,,,,,,,,,,,,,
higiene,hygiene,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
higiene del sueño,sleep hygiene,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
higienización,sanitizing,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
higienizar,sanitize,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hijo/a,,CDC,CDC,,,,,,,,,,,,,,,,,,,,,
hilio,hilum ,FDA,FDA,,,Health,Food MPM,,"A scar on the seed, marking the place where the seed was attached to the seed stalk.",,,,,,,,,,,,,,,
hiperacusia,hyperacusis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hipercalcemia hipocalciúrica familiar,familial hypocalciuric hypercalcemia,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
hiperemia,hyperemia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hiperglucemia,hyperglycemia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hipermetropía (vista larga),hyperopia (farsightedness),CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hiperparatiroidismo familar aislado,familial isolated hyperparathyroidism,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
hipersensibilidad química múltiple,multiple chemical sensitivity,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hipertensión arterial limítrofe,borderline hypertension,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hipertensión arterial pulmonar (HAP),pulmonary arterial hypertension,NIH,NIH,,PAH,Health,,,,,,,,,,,,,,,,,,
hipertensión intracraneal benigna,benign intracranial hypertension,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hipertensión pulmonar,pulmonary hypertension,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hipoacusia,hearing loss,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
Hipocampo,,NIA,NIA,,,,,,,,,,,,,,,,,,,,,
hipoclorito cálcico concentrado,high-test hypochlorite,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hipoestesia,loss of sensation,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
hipofisario,pituitary,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
hipófisis,pituitary,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
hipoglucemia,hypoglycemia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hiponatremia,hyponatremia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hipoperfusión,hypoperfusion,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hipopotasiemia,hypokalemia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hipospadias,hypospadias,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hipotensión,hypotension,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hipotensión ortostática,orthostatic hypotension,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hipotensión postural,postural hypotension,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hipótesis,hypothesis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hisopo,cotton swab,FDA,FDA,,,Health,Cosmetics,,,,,,,,,,,,,,,,,
hisopo con punta de rayón,rayon tip swab,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hisopo de nailon flocado,nylon-flocked swab,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
histerectomía,hysterectomy,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
histerectomía radical,radical hysterectomy,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
histeroscopia,hysteroscopy,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
histograma,histogram,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
histopatología,histopathology,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
histoplasmosis,histoplasmosis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Historia clínica electrónica,Electronic Health Record,HRSA-BPHC,HRSA-BPHC,,EHR,,,,,,,,,,,,,,,,,,,
historial de aprobaciones,approval history ,FDA,FDA,,,Health,Drugs,,"The approval history is a chronological list of all FDA actions involving one drug product having a particular FDA Application number (NDA). There are over 50 kinds of approval actions including changes in the labeling, a new route of administration, and a new patient population for a drug product.",,,,,,,,,,,,,,,
Hoja de Análisis de Recetas (RAW),Recipe Analysis Workbook (RAW),USDA-FNS,USDA-FNS,,,Health,,,,,,,,,,,,,,,,,,
Hoja de capacitación,Training Worksheet,USDA-FNS,USDA-FNS,,,Health,,,,,Reference: https://www.fns.usda.gov/es/tn/grain-based-desserts-cacfp,,,,,,,,,,,,,
Hoja de datos,fact sheet,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
hoja de información para el consumidor,consumer factsheet,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
hoja de información para minoristas,retailer factsheet,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
hoja informativa,"fact sheet,factsheet",CDC,CDC,,,"Health,Health",,,,,,,,,,,,,,,,,,
hoja informativa sobre la vacuna,Vaccine Information Sheet,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hoja suelta,loose leaf,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
homogéneo,consistent,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
homólogo,counterpart,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
hongo,yeast,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hongos,fungus ,FDA,FDA,,,Health,Food MPM,,"A low form of plant life which, lacking chlorophyll and being incapable of manufacturing its own food, lives off dead or living plant or animal matter.",,,,,,,,,,,,,,,
hongos de almacenamiento,storage fungi ,FDA,FDA,,,Health,Food MPM,,"Fungi that live off stored products; generally associated with molds capable of growing on food products at a relatively low moisture level, e.g., Aspergillus and Penicillium.",,,,,,,,,,,,,,,
hongos de campo,field fungi ,FDA,FDA,,,Health,Food MPM,,Molds that infest growing crops.,,,,,,,,,,,,,,,
horario,schedule,"NIH,USDA-FNS","NIH, USDA-FNS",,,Health,,Distribución en horas de las ocupaciones [de una persona] o del funcionamiento [de un servicio],,,Refering to feeding schedule…un horario de comer. Reference: Feeding Infants in the CACFP Guide: https://www.fns.usda.gov/tn/feeding-infants-child-and-adult-care-food-program ,,,,Primary,,,,,Masculine,Singular,Noun,,
hormigueo,"pins and needles,tingling",NIH,NIH,,,"Health,Health",,,,,,,,,,,,,,,,,,
hormona paratiroidea (PTH),parathyroid hormone,NIH,NIH,,PTH,Health,,,,,,,,,,,,,,,,,,
hortalizas de hoja verde frescas*,fresh leafy greens,FDA,FDA,,,Health,Food Industry,,"The term “leafy greens” includes iceberg lettuce, romaine lettuce, leaf lettuce, butter lettuce, baby leaf lettuce (i.e., immature lettuce or leafy greens), escarole, endive, spring mix, spinach, cabbage, kale, arugula and chard. The term “leafy greens” does not include herbs such as cilantro or parsley",,*Codex Term; vegetales de hoja verde frescos; hierbas de hoja verde frescas,,,,,,,,,,,,,
hospedador,host,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hospedador susceptible,susceptible host,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hospicio,hospice,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
hospitalización,hospitalization,FDA,FDA,,,Health,Drug Development,,Se refiere a una persona que es hospitalizada por lo menos por una noche para recibir tratamiento o participar en un estudio.,,,,,,,,,,,,,,,
hoyuelo labial,labial pit,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hoyuelos comisurales,commissural pits,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
huella genética,DNA fingerprint,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hueso cuboides,cuboid bone,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
hueso ilíaco,hip bone,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
huesos comestibles,bone treats,FDA,FDA,,,Health,Veterinarian,,,,,,,,,,,,,,,,,
huesos cuneiformes,cuneiform bones,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
huesos de nudillos ahumados,smokey knuckle bone,FDA,FDA,,,Health,Veterinarian,,,,,,,,,,,,,,,,,
huésped,host,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
huéspedes,host,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
humo de segunda mano,"second-hand smoke,secondhand smoke","CDC,FDA",CDC,,,"Health,Health",Tobacco,,,,,,,,,,,,,,,,,
humo de tabaco en el ambiente,second-hand smoke,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
humo del cigarrillo,secondhand smoke,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
ictericia,jaundice,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
ideas de suicidio,suicidality,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
identificación genética,DNA fingerprinting,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
identificación sistemática,screening,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
identificar,detect,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
idiopático,unexplained,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
idoneidad,eligibility,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
idóneo,candidate,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
Igualdad de Oportunidades en el Empleo,Equal Employment Opportunity ,HRSA,HRSA,,EEO,,,,,,,,,,,,,,,,,,,
imagen por resonancia magnética,magnetic resonance imaging,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
imipenem,imipenem,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
imparcial,fair,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
impedir,"block,prevent",NIH,NIH,,,"Health,Health",,,,,,,,,,,,,,,,,,
impétigo,impetigo,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
implicación,involvement,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
imponente,dramatically,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
importación/exportación,importing & exporting,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
importador,importer,FDA,FDA,,,Health,Tobacco,,means any person who imports any tobacco product that is intended for sale or distribution to consumers in the United States (part 1140).,,,,,,,,,,,,,,,
importancia,"extent,significance",NIH,NIH,,,"Health,Health",,,,,,,,,,,,,,,,,,
importancia clínica,clinical significance,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
importante,"appreciable,extensive,major",NIH,NIH,,,"Health,Health,Health",,,,,,,,,,,,,,,,,,
impreciso,vague,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
impresionante,dramatically,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
imprevisto,"dramatically,incidental",NIH,NIH,,,"Health,Health",,,,,,,,,,,,,,,,,,
imprimir esta página/imprimir,print this page,FDA,FDA,,,Health,Tobacco,,According to space,,,,,,,,,,,,,,,
impulso eferente,efferent impulse,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
In situ,In situ,FDA,FDA,,,Health,Food Industry,,,,en el mismo lugar,,,,,,,,,,,,,
in vitro,in vitro,FDA,FDA,,,Health,Drug Development,,"Significa “en vidrio”, como en un tubo de ensayo. Una prueba in vitro es aquella que se realiza en recipientes de vidrio o plástico en el laboratorio. In vitro es lo contrario de in vivo.",,,,,,,,,,,,,,,
in vivo,in vivo,FDA,FDA,,,Health,Drug Development,,"Significa “en el organismo vivo”. Por ejemplo, un experimento que se realiza in vivo tiene lugar en el cuerpo de un organismo vivo. In vivo es lo contrario de in vitro.",,,,,,,,,,,,,,,
inactivo,indolent,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
incautación / embargo,seizure,FDA,FDA,,,Health,Food Industry,,,,Depend on context,,,,,,,,,,,,,
Incentivos al pago puntual,Prompt Payment Incentives,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
Incentivos de pagos en efectivo,Cash Payment Incentives,HRSA-BPHC,HRSA-BPHC,,CPR,,,,,,,,,,,,,,,,,,,
incidencia,"incidence,prevalence",CDC,CDC,,,"Health,Health",,,,,,,,,,,,,,,,,,
incoercible,intractable,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
incomodiad,discomfort,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
incómodo,inconvenient,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
incontinencia intestinal,bowel incontinence,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
incubadora de agitación,shaking incubator,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
indicación,indication,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
indicaciones,directions,NIA,NIA,,,Health,,,"as in driving directions, directions to a place, etc.",,,,,,,,,,,,,,,
indicaciones de uso,indications for use,FDA,FDA,,,,,, A description of why a patient would use a certain test.,,,,,,,,,,,,,,,
indicar,suggest,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
indicativo,suggestive,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
índice,rate,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
índice de área corporal (IAC),body surface area index,NIH,NIH,,BSAi,Health,,,,,,,,,,,,,,,,,,
índice de condición física (BCS),Body Condition Scoring,NIH,NIH,,BCS,Health,,,,,,,,,,,,,,,,,,
índice de fallos,failure rate,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
índice de fracaso,failure rate,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
índice de Karnofsky (K),Karnofsky index ,NIH,NIH,,KI,Health,,,,,,,,,,,,,,,,,,
índice de vulnerabilidad social,Social Vulnerability Index,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
índice de vulnerabilidad social de los CDC y la ATSDR,CDC/ATSDR Social Vulnerability Index,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
indicio,indication,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
indicios,evidence,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
indisciplinado,wild,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
indoloro,indolent,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
induración,induration,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
industria,industry,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
industria alimentaria,food industry,FDA,FDA,,,Health,Food Industry,,,,"Alimentario significa 'de los alimentos o de la alimentación', y alimenticio, 'que alimenta o tiene la propiedad de alimentar'.",,,,,,,,,,,,,
inesperado,dramatically,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
inevitable,inherent,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
infarto de miocardio,myocardial infarction,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
infección,infection,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
infección de garganta por estreptococos,strep throat,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
infección de oído,ear infection,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
infección de tuberculosis latente,latent TB infection,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
infección del oído medio,middle ear infection,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
infección por Dipylidium caninum,Dipylidium caninum infection,CDC,CDC,,,Health,,,,The term Dipylidium caninum should be in italics and upper-case D.,,,,,,,,,,,,,,
infección por el virus que causa el COVID-19,COVID-19 infection,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
infección por hongos,yeast infection,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
infección urinaria,urinary tract infection,CDC,CDC,,UTI,Health,,,,,,,,,,,,,,,,,,
infecciones en seres humanos,human infections,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
infectado por el VIH,HIV positive,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
infestación,infection,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
influencia,impact,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
influenza,flu,CDC,CDC,,,Health,,,,,,,checked,influenza A(H3N2),,,,,,,,,,
influenza A(H1N1)pdm09,,CDC,CDC,,,,,,,,,,,,,,,,,,,,,
influenza A(H3N2),influenza A(H3N2),CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
influenza aviar,"avian flu,avian influenza","CDC,FDA",CDC,,,"Health,Health",Food Industry,,,,gripe aviar,,,,,,,,,,,,,
influenza B,influenza B,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
influenza H1N1,H1N1 flu,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
influir,influence,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
información,fact,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
Información de preferencia del paciente,patient preference information,FDA,FDA,,PPI,Health,Drug Development,,"Assessments of the relative desirability or acceptability to patients of specified alternatives or choices among outcomes or other attributes that differ among alternative health interventions. The methods for generating PPI may be qualitative, quantitative, or mixed methods. (Source: FDA Guidance on PPI for medical devices)",,,,,,,,,,,,,,,
